source,relationship,target,source_paper_title
AI,improves,results,AI and IoT in Supply Chain Management and Disaster Management
AI,analyzes,data,AI and IoT in Supply Chain Management and Disaster Management
AI,helps,decision-making,AI and IoT in Supply Chain Management and Disaster Management
AI,creates,smart supply chain,AI and IoT in Supply Chain Management and Disaster Management
AI,improves,safety,AI and IoT in Supply Chain Management and Disaster Management
AI,improves,productivity,AI and IoT in Supply Chain Management and Disaster Management
AI,improves,visibility,AI and IoT in Supply Chain Management and Disaster Management
AI,forecasts,demand,AI and IoT in Supply Chain Management and Disaster Management
AI,improves,routes,AI and IoT in Supply Chain Management and Disaster Management
AI,regulates,network management,AI and IoT in Supply Chain Management and Disaster Management
AI,automates,marketing process,AI and IoT in Supply Chain Management and Disaster Management
AI,augments,human labor,Healthcare Android Application for Elderly and Disabled People
AI,replaces,administrative workflow,Healthcare Android Application for Elderly and Disabled People
AI,assists,image analysis,Healthcare Android Application for Elderly and Disabled People
AI,enhances,clinical documentation,Healthcare Android Application for Elderly and Disabled People
AI,supports,patient outreach,Healthcare Android Application for Elderly and Disabled People
AI,analyzes,medical data,Healthcare Android Application for Elderly and Disabled People
service firms,use,smart technologies,The healthy aging and service firms: the promise of smart technologies
service firms,improve,customer experience (CX),The healthy aging and service firms: the promise of smart technologies
healthy aging segment,attract,service firms,The healthy aging and service firms: the promise of smart technologies
BLIP-Processor,augments,SEO,AI-DRIVEN AUTOMATION IN SEO: ENHANCING IMAGE DESCRIPTIONS WITH BLIP-PROCESSOR MODELS
BLIP-Processor,automates,Image-to-Text process,AI-DRIVEN AUTOMATION IN SEO: ENHANCING IMAGE DESCRIPTIONS WITH BLIP-PROCESSOR MODELS
BLIP-Processor,creates,SEO-compatible annotations,AI-DRIVEN AUTOMATION IN SEO: ENHANCING IMAGE DESCRIPTIONS WITH BLIP-PROCESSOR MODELS
BLIP-Processor,improves,search engine visibility,AI-DRIVEN AUTOMATION IN SEO: ENHANCING IMAGE DESCRIPTIONS WITH BLIP-PROCESSOR MODELS
BLIP-Processor,requires,digital marketing efficiency,AI-DRIVEN AUTOMATION IN SEO: ENHANCING IMAGE DESCRIPTIONS WITH BLIP-PROCESSOR MODELS
BLIP-Processor,enhances,web accessibility,AI-DRIVEN AUTOMATION IN SEO: ENHANCING IMAGE DESCRIPTIONS WITH BLIP-PROCESSOR MODELS
buyer,receives,customized attention,Artificial Intelligence in Marketing and Its Pitfalls as a Barrier for Sustainable Growth: A Systematic Literature Review
company,provides,customized attention,Artificial Intelligence in Marketing and Its Pitfalls as a Barrier for Sustainable Growth: A Systematic Literature Review
AI-based applications,augments,value exchange process,Artificial Intelligence in Marketing and Its Pitfalls as a Barrier for Sustainable Growth: A Systematic Literature Review
AI,augments,personalized learning,Intelligent Digital Skills Practice and Automated Feedback Module Design: A Case Study of the “New Media Marketing” Course
ITS,requires,NLP,Intelligent Digital Skills Practice and Automated Feedback Module Design: A Case Study of the “New Media Marketing” Course
ITS,requires,ML,Intelligent Digital Skills Practice and Automated Feedback Module Design: A Case Study of the “New Media Marketing” Course
LLM,generates,automated feedback,Intelligent Digital Skills Practice and Automated Feedback Module Design: A Case Study of the “New Media Marketing” Course
AI,parses,unstructured creative text,Intelligent Digital Skills Practice and Automated Feedback Module Design: A Case Study of the “New Media Marketing” Course
AI,evaluates,practice outcomes,Intelligent Digital Skills Practice and Automated Feedback Module Design: A Case Study of the “New Media Marketing” Course
AI,augments,marketing,AI-powered chatbots in Meta marketing (Facebook and Instagram): A game-changer for brand communication and engagement in e-commerce industries
chatbots,automates,customer care,AI-powered chatbots in Meta marketing (Facebook and Instagram): A game-changer for brand communication and engagement in e-commerce industries
AI chatbots,improves,response times,AI-powered chatbots in Meta marketing (Facebook and Instagram): A game-changer for brand communication and engagement in e-commerce industries
AI chatbots,enhances,consumer experience,AI-powered chatbots in Meta marketing (Facebook and Instagram): A game-changer for brand communication and engagement in e-commerce industries
chatbots,requires,human touch,AI-powered chatbots in Meta marketing (Facebook and Instagram): A game-changer for brand communication and engagement in e-commerce industries
AI,augments,marketing strategies,Convergence of online flow and AI-enabled services: the impact on awe experience in e-tail customer journeys
AI services,negatively affects,flow dimensions,Convergence of online flow and AI-enabled services: the impact on awe experience in e-tail customer journeys
AI service quality,positively correlates with,customers' awe experience,Convergence of online flow and AI-enabled services: the impact on awe experience in e-tail customer journeys
AI technology,enhances,efficiency and cost-effectiveness,Convergence of online flow and AI-enabled services: the impact on awe experience in e-tail customer journeys
AI,transforms,shopping experience,Convergence of online flow and AI-enabled services: the impact on awe experience in e-tail customer journeys
AI,augments,labor,Effects of digital applications and artificial intelligence technologies in businesses
AI,replaces,jobs,Effects of digital applications and artificial intelligence technologies in businesses
AI,creates,new professions,Effects of digital applications and artificial intelligence technologies in businesses
AI,augments,Marketing,Product decal recognition using ocr technique: Frugal approach
Camera,automates,Decals Recognition,Product decal recognition using ocr technique: Frugal approach
AI,augments,customer interactions,Transforming Local Business Operations with an AI-Powered Franchise Customer Experience Platform in Web Development
AI-powered chatbots,enhances,customer experience,Transforming Local Business Operations with an AI-Powered Franchise Customer Experience Platform in Web Development
machine learning (ML),analyses,customer behavior,Transforming Local Business Operations with an AI-Powered Franchise Customer Experience Platform in Web Development
natural language processing (NLP),delivers,data-driven insights,Transforming Local Business Operations with an AI-Powered Franchise Customer Experience Platform in Web Development
AI-driven automation,reduces,manual workload,Transforming Local Business Operations with an AI-Powered Franchise Customer Experience Platform in Web Development
AI-based predictive analytics,optimizes,resource allocation,Transforming Local Business Operations with an AI-Powered Franchise Customer Experience Platform in Web Development
cloud-based hosting,ensures,high availability,Transforming Local Business Operations with an AI-Powered Franchise Customer Experience Platform in Web Development
Industry 4.0,requires,AI,A systematic review of industry 4.0 technologies in the production and manufacturing sector
Industry 4.0,uses,big data analytics,A systematic review of industry 4.0 technologies in the production and manufacturing sector
Industry 4.0,employs,digital twins,A systematic review of industry 4.0 technologies in the production and manufacturing sector
Industry 4.0,integrates,IoT,A systematic review of industry 4.0 technologies in the production and manufacturing sector
Industry 4.0,creates,self-governing systems,A systematic review of industry 4.0 technologies in the production and manufacturing sector
AI,enhances,customer satisfaction,Artificial Intelligence in Personalized Marketing: Strategies for Enhancing Consumer Engagement
AI,optimizes,communication,Artificial Intelligence in Personalized Marketing: Strategies for Enhancing Consumer Engagement
AI,delivers,adaptive content,Artificial Intelligence in Personalized Marketing: Strategies for Enhancing Consumer Engagement
AI,predicts,consumer behavior,Artificial Intelligence in Personalized Marketing: Strategies for Enhancing Consumer Engagement
human oversight,requires,AI-driven analytics,Artificial Intelligence in Personalized Marketing: Strategies for Enhancing Consumer Engagement
SMEs,requires,AI tools,The AI Revolution in SMEs: Intelligent Personalization and Segmentation in Digital Marketing
Industry experts,analyses,successful SME cases,The AI Revolution in SMEs: Intelligent Personalization and Segmentation in Digital Marketing
AI adoption,improves,campaign efficiency,The AI Revolution in SMEs: Intelligent Personalization and Segmentation in Digital Marketing
SMEs,threatens,implementation,The AI Revolution in SMEs: Intelligent Personalization and Segmentation in Digital Marketing
Training,overcomes,barriers,The AI Revolution in SMEs: Intelligent Personalization and Segmentation in Digital Marketing
Gradual investments,facilitates,integration,The AI Revolution in SMEs: Intelligent Personalization and Segmentation in Digital Marketing
Strategic partnerships,facilitates,integration,The AI Revolution in SMEs: Intelligent Personalization and Segmentation in Digital Marketing
AI,augments,marketing,"Artificial Intelligence Technologies: Applications, Threats, and Future Opportunities"
AI,improves,efficiency,"Artificial Intelligence Technologies: Applications, Threats, and Future Opportunities"
AI,requires,planning,"Artificial Intelligence Technologies: Applications, Threats, and Future Opportunities"
AI,creates,value,"Artificial Intelligence Technologies: Applications, Threats, and Future Opportunities"
AI,threatens,challenges,"Artificial Intelligence Technologies: Applications, Threats, and Future Opportunities"
fashion,embraces,ai,AI in Fashion System-Design to Customer Feedback
ai,streamlines,processes,AI in Fashion System-Design to Customer Feedback
ai,enhances,creativity,AI in Fashion System-Design to Customer Feedback
ai,improves,customer experiences,AI in Fashion System-Design to Customer Feedback
trend forecasting,uses,data mining,AI in Fashion System-Design to Customer Feedback
design,augments,generative design,AI in Fashion System-Design to Customer Feedback
ai,revolutionises,apparel production,AI in Fashion System-Design to Customer Feedback
demand forecasting,uses,ai techniques,AI in Fashion System-Design to Customer Feedback
supply chain optimization,uses,ai techniques,AI in Fashion System-Design to Customer Feedback
intelligent automation,uses,ai techniques,AI in Fashion System-Design to Customer Feedback
marketing strategies,influenced by,ai,AI in Fashion System-Design to Customer Feedback
targeted advertising,uses,ai,AI in Fashion System-Design to Customer Feedback
personalised recommendations,uses,ai,AI in Fashion System-Design to Customer Feedback
customer segmentation,uses,ai,AI in Fashion System-Design to Customer Feedback
smart fitting rooms,powered by,ai,AI in Fashion System-Design to Customer Feedback
visual merchandising,powered by,ai,AI in Fashion System-Design to Customer Feedback
real-time inventory tracking,powered by,ai,AI in Fashion System-Design to Customer Feedback
customer feedback,facilitates,closed-loop system,AI in Fashion System-Design to Customer Feedback
leadership,requires,adaptability,Megatrends in leadership and technology across industries
sales,uses,data-driven decision-making,Megatrends in leadership and technology across industries
marketing,uses,data-driven decision-making,Megatrends in leadership and technology across industries
human resources,uses,data-driven decision-making,Megatrends in leadership and technology across industries
operations,uses,data-driven decision-making,Megatrends in leadership and technology across industries
finance,uses,data-driven decision-making,Megatrends in leadership and technology across industries
AI,augments,leadership,Megatrends in leadership and technology across industries
ML,augments,leadership,Megatrends in leadership and technology across industries
blockchain technology,augments,leadership,Megatrends in leadership and technology across industries
IoT,augments,leadership,Megatrends in leadership and technology across industries
automation,augments,leadership,Megatrends in leadership and technology across industries
virtual reality applications,augments,leadership,Megatrends in leadership and technology across industries
AI,augments,marketing strategies,The AI marketing playbook: Concepts methods applications: Second edition
businesses,requires,AI tools,The AI marketing playbook: Concepts methods applications: Second edition
customer data,transforms,actionable insights,The AI marketing playbook: Concepts methods applications: Second edition
AI tools,enhances,marketing campaigns,The AI marketing playbook: Concepts methods applications: Second edition
digital strategists,integrates,AI into marketing practices,The AI marketing playbook: Concepts methods applications: Second edition
AI,enhances,efficiency,AI in B2B Marketing and Its Applications in the Hospitality Industry
AI,fosters,innovation,AI in B2B Marketing and Its Applications in the Hospitality Industry
machine learning,enables,optimization,AI in B2B Marketing and Its Applications in the Hospitality Industry
predictive analytics,enables,personalization,AI in B2B Marketing and Its Applications in the Hospitality Industry
AI,drives,partnerships,AI in B2B Marketing and Its Applications in the Hospitality Industry
dynamic pricing,addresses,challenges,AI in B2B Marketing and Its Applications in the Hospitality Industry
customer segmentation,addresses,challenges,AI in B2B Marketing and Its Applications in the Hospitality Industry
event planning optimization,addresses,challenges,AI in B2B Marketing and Its Applications in the Hospitality Industry
AI,requires,skills,AI in B2B Marketing and Its Applications in the Hospitality Industry
AI,threatens,legacy systems,AI in B2B Marketing and Its Applications in the Hospitality Industry
GPT Chat,used for,content creation,Business Conditions in OECD Countries (2010-2019): A Longitudinal Analysis Applying Machine Learning; [Condiciones empresariales en los países de la OCDE (2010-2019): Un análisis longitudinal aplicando aprendizaje automático]
