source,relationship,target,source_paper_title
Participatory Design (PD),informs,HCI-informed approach to governance,Designing Buy-In: Leveraging HCI to Drive Responsible AI
Socio-Technical Systems (STS) Theory,informs,HCI-informed approach to governance,Designing Buy-In: Leveraging HCI to Drive Responsible AI
policies,augments,compliance,Towards effective restriction of unhealthy food marketing to children: unlocking the potential of artificial intelligence
AI systems,assesses,food marketing,Towards effective restriction of unhealthy food marketing to children: unlocking the potential of artificial intelligence
research teams,develops,AI-enabled systems,Towards effective restriction of unhealthy food marketing to children: unlocking the potential of artificial intelligence
policies,reduces,children's exposure,Towards effective restriction of unhealthy food marketing to children: unlocking the potential of artificial intelligence
companies,struggle,value,From AI hype to workflow reality: a strategic framework for integrating generative AI across organizational functions
AI initiatives,require,strategic frameworks,From AI hype to workflow reality: a strategic framework for integrating generative AI across organizational functions
generative AI,embeds,workflow processes,From AI hype to workflow reality: a strategic framework for integrating generative AI across organizational functions
prompt strategy,drives,transformation,From AI hype to workflow reality: a strategic framework for integrating generative AI across organizational functions
AI adoption models,emphasizes,workflow integration,From AI hype to workflow reality: a strategic framework for integrating generative AI across organizational functions
organizations,treats,prompt engineering as capability,From AI hype to workflow reality: a strategic framework for integrating generative AI across organizational functions
AI,transforms,competitive advantage,From AI hype to workflow reality: a strategic framework for integrating generative AI across organizational functions
AI,augments,digital marketing,Trends in Business Process Modeling and Digital Marketing: Case Studies and Emerging Technologies
data analytics,improves,decision-making,Trends in Business Process Modeling and Digital Marketing: Case Studies and Emerging Technologies
customer-centric approaches,requires,data-driven decision-making,Trends in Business Process Modeling and Digital Marketing: Case Studies and Emerging Technologies
emerging digital tools,drives,growth,Trends in Business Process Modeling and Digital Marketing: Case Studies and Emerging Technologies
digital marketing,optimizes,workflows,Trends in Business Process Modeling and Digital Marketing: Case Studies and Emerging Technologies
AI,augments,marketing,Boosting and Embracing Artificial Intelligence and Machine Learning for the Future of Digital Marketing
Chatbots,offers,personalized recommendations,Boosting and Embracing Artificial Intelligence and Machine Learning for the Future of Digital Marketing
predictive analytics,forecasts,consumer behavior,Boosting and Embracing Artificial Intelligence and Machine Learning for the Future of Digital Marketing
AI-driven marketing automation,streamlines,workflows,Boosting and Embracing Artificial Intelligence and Machine Learning for the Future of Digital Marketing
marketers,requires,data analysis,Boosting and Embracing Artificial Intelligence and Machine Learning for the Future of Digital Marketing
ad campaigns,optimizes,ROI,Boosting and Embracing Artificial Intelligence and Machine Learning for the Future of Digital Marketing
Chatbots and virtual assistants,handles,customer inquiries,Boosting and Embracing Artificial Intelligence and Machine Learning for the Future of Digital Marketing
MPs,requires,AI competencies,Regulatory Aspects of the Use of Artificial Intelligence Medical Software
MPs,contributes to,AI medical devices,Regulatory Aspects of the Use of Artificial Intelligence Medical Software
MPs,plays stakeholder role for,AI tools procurement,Regulatory Aspects of the Use of Artificial Intelligence Medical Software
MPs,co-creates,AI tools,Regulatory Aspects of the Use of Artificial Intelligence Medical Software
MPs,supports,regulatory pathways and marketing,Regulatory Aspects of the Use of Artificial Intelligence Medical Software
AI,augments,Decision Techniques,"2nd Decision Science Alliance International Summer Conference, DSA ISC 2024"
AI,improves,Strategy Formulation,"2nd Decision Science Alliance International Summer Conference, DSA ISC 2024"
AI,creates,Product Portfolio Optimization,"2nd Decision Science Alliance International Summer Conference, DSA ISC 2024"
AI,requires,Talent Management,"2nd Decision Science Alliance International Summer Conference, DSA ISC 2024"
Machine Learning,analyses,Urban Planning,"2nd Decision Science Alliance International Summer Conference, DSA ISC 2024"
Data Analytics,uses,KPIs,"2nd Decision Science Alliance International Summer Conference, DSA ISC 2024"
AI-Enhanced Decision-Making,improves,Childhood Obesity Interventions,"2nd Decision Science Alliance International Summer Conference, DSA ISC 2024"
Machine Learning Models,estimates,Solid Waste Generation,"2nd Decision Science Alliance International Summer Conference, DSA ISC 2024"
Generic Planning Algorithm,adapts,Order Decision,"2nd Decision Science Alliance International Summer Conference, DSA ISC 2024"
Decision Support System,allocates,Electric Vehicle Charging Stations,"2nd Decision Science Alliance International Summer Conference, DSA ISC 2024"
Simulation Budget Management,integrates,Drum-Buffer-Rope,"2nd Decision Science Alliance International Summer Conference, DSA ISC 2024"
Predictive Models,enhances,Insurance,"2nd Decision Science Alliance International Summer Conference, DSA ISC 2024"
businesses,leverage,AI,Navigating AI Adoption - An 'AI Verse' Framework for Enterprises
enterprises,struggle,transition,Navigating AI Adoption - An 'AI Verse' Framework for Enterprises
companies,use,specific function,Navigating AI Adoption - An 'AI Verse' Framework for Enterprises
enterprises,adopt,crossdisciplinary integration,Navigating AI Adoption - An 'AI Verse' Framework for Enterprises
AI-verse architecture,enable,standardize AI management,Navigating AI Adoption - An 'AI Verse' Framework for Enterprises
firms,fail,achieve,Security and Privacy Protection in Developing Ethical AI: A Mixed-Methods Study from a Marketing Employee Perspective
chatbots,prevent,culture,Security and Privacy Protection in Developing Ethical AI: A Mixed-Methods Study from a Marketing Employee Perspective
employees,perceive,ethics,Security and Privacy Protection in Developing Ethical AI: A Mixed-Methods Study from a Marketing Employee Perspective
affordances,foster,perceptions,Security and Privacy Protection in Developing Ethical AI: A Mixed-Methods Study from a Marketing Employee Perspective
security,increase,ethics,Security and Privacy Protection in Developing Ethical AI: A Mixed-Methods Study from a Marketing Employee Perspective
practitioners,inform,development,Security and Privacy Protection in Developing Ethical AI: A Mixed-Methods Study from a Marketing Employee Perspective
BERTopic,augments,human-AI collaboration,"Sports, politics, and social media: A Human-AI collaborative analysis of consumer reactions to Trump's break 50 appearance"
LLMs,requires,fine-tuning,"Sports, politics, and social media: A Human-AI collaborative analysis of consumer reactions to Trump's break 50 appearance"
embedding-based semantic evaluations,analyses,YouTube comments,"Sports, politics, and social media: A Human-AI collaborative analysis of consumer reactions to Trump's break 50 appearance"
entertainment frames,occupies,admiration quadrant,"Sports, politics, and social media: A Human-AI collaborative analysis of consumer reactions to Trump's break 50 appearance"
political discourse,aligns with,contempt,"Sports, politics, and social media: A Human-AI collaborative analysis of consumer reactions to Trump's break 50 appearance"
audience perceptions,reveal,nuanced stereotypes,"Sports, politics, and social media: A Human-AI collaborative analysis of consumer reactions to Trump's break 50 appearance"
platform norms,influence,perceptions of Trump,"Sports, politics, and social media: A Human-AI collaborative analysis of consumer reactions to Trump's break 50 appearance"
GANs,automates,content creation,AI-Driven Automation in Social Media Marketing: Leveraging GANs for Content Creation
marketers,requires,GANs integration,AI-Driven Automation in Social Media Marketing: Leveraging GANs for Content Creation
AI,transforms,social media marketing,AI-Driven Automation in Social Media Marketing: Leveraging GANs for Content Creation
banks,requires,AI/ML models,Artificial Intelligence/Machine Learning driven decision making in business analytics for Financial Sector using Ensemble Machine Learning Techniques
finance sectors,can optimize,customer interactions,Artificial Intelligence/Machine Learning driven decision making in business analytics for Financial Sector using Ensemble Machine Learning Techniques
banks,can streamline,operations,Artificial Intelligence/Machine Learning driven decision making in business analytics for Financial Sector using Ensemble Machine Learning Techniques
banks,can drive down,expenses,Artificial Intelligence/Machine Learning driven decision making in business analytics for Financial Sector using Ensemble Machine Learning Techniques
AI/ML solutions,offers a distinct advantage over competitors,,Artificial Intelligence/Machine Learning driven decision making in business analytics for Financial Sector using Ensemble Machine Learning Techniques
algorithms,prove effective in classifying decision-making problems,,Artificial Intelligence/Machine Learning driven decision making in business analytics for Financial Sector using Ensemble Machine Learning Techniques
banks,can achieve sustainable growth,by embracing AI integration,Artificial Intelligence/Machine Learning driven decision making in business analytics for Financial Sector using Ensemble Machine Learning Techniques
AI chatbots,augments,customer service,Does AI chatbot really benefit fashion consumption: empirical evidence from various online customer service
human customer service,preferred by,fashion consumers,Does AI chatbot really benefit fashion consumption: empirical evidence from various online customer service
hybrid models,replaces,AI chatbots (in post-sale scenarios),Does AI chatbot really benefit fashion consumption: empirical evidence from various online customer service
purchase intention,most significantly affected,customer service types,Does AI chatbot really benefit fashion consumption: empirical evidence from various online customer service
AI,augments,assessment,Is ai-powered education sustainable and marketable in uk higher education? Exploring opportunities and challenges in assessment through the lenses of staff and students
staff,requires,upskilling,Is ai-powered education sustainable and marketable in uk higher education? Exploring opportunities and challenges in assessment through the lenses of staff and students
AI,threatens,academic integrity,Is ai-powered education sustainable and marketable in uk higher education? Exploring opportunities and challenges in assessment through the lenses of staff and students
AI,improves,feedback quality,Is ai-powered education sustainable and marketable in uk higher education? Exploring opportunities and challenges in assessment through the lenses of staff and students
AI,creates,inclusivity,Is ai-powered education sustainable and marketable in uk higher education? Exploring opportunities and challenges in assessment through the lenses of staff and students
bp,leverages,Azure Databricks,"Delivering data to subsurface and wells staff, when they need it"
Azure Databricks,automates,workflows,"Delivering data to subsurface and wells staff, when they need it"
Azure Databricks,enables,machine learning,"Delivering data to subsurface and wells staff, when they need it"
Azure Databricks,enables,artificial intelligence,"Delivering data to subsurface and wells staff, when they need it"
AI,augments,human labor,Healthcare Android Application for Elderly and Disabled People
AI,replaces,administrative workflow,Healthcare Android Application for Elderly and Disabled People
AI,assists,image analysis,Healthcare Android Application for Elderly and Disabled People
AI,enhances,clinical documentation,Healthcare Android Application for Elderly and Disabled People
AI,supports,patient outreach,Healthcare Android Application for Elderly and Disabled People
AI,analyzes,medical data,Healthcare Android Application for Elderly and Disabled People
AI,transforms,business management,AI in Business Management
AI,alters,corporate environment,AI in Business Management
AI,boosts,decision-makers effectiveness,AI in Business Management
AI,plays a vital role in helping,industry leaders develop strategies and achieve success,AI in Business Management
AI,improves,operations,AI in Business Management
AI,enhances,employee productivity,AI in Business Management
AI,delivers greater value,organizations,AI in Business Management
AI,advances,data analysis and decision-making,AI in Business Management
AI,improves,customer experiences,AI in Business Management
AI,generates content,organizations,AI in Business Management
AI,optimizes,"IT operations, sales, marketing, cybersecurity, and other functions",AI in Business Management
AI,supports the human workforce by streamlining workflows and increasing operational efficiency through various methods,employees,AI in Business Management
AI,automates repetitive tasks,employees,AI in Business Management
AI,extracts insights from machine learning,employees,AI in Business Management
AI,rapidly analyzes large data sets,employees,AI in Business Management
AI,predicts future trends,employees,AI in Business Management
AI systems,enable business automation,enterprise and process automation,AI in Business Management
business automation,minimizes human error,employees,AI in Business Management
ML,augments,direct marketing,Towards Explainable Direct Marketing in the Telecom Industry Through Hybrid Machine Learning
ML,requires,explanations,Towards Explainable Direct Marketing in the Telecom Industry Through Hybrid Machine Learning
telecom domain,witnesses,revenue decline,Towards Explainable Direct Marketing in the Telecom Industry Through Hybrid Machine Learning
direct marketing,increases,profit,Towards Explainable Direct Marketing in the Telecom Industry Through Hybrid Machine Learning
hybrid framework,employs,supervised learning,Towards Explainable Direct Marketing in the Telecom Industry Through Hybrid Machine Learning
hybrid framework,employs,case-based reasoning,Towards Explainable Direct Marketing in the Telecom Industry Through Hybrid Machine Learning
hybrid framework,employs,rule-based reasoning,Towards Explainable Direct Marketing in the Telecom Industry Through Hybrid Machine Learning
stakeholders,require,AI tools,"Challenges and opportunities for mining adverse drug reactions: Perspectives from pharma, regulatory agencies, healthcare providers and consumers"
text mining,aid,drug discovery,"Challenges and opportunities for mining adverse drug reactions: Perspectives from pharma, regulatory agencies, healthcare providers and consumers"
text mining,aid,testing,"Challenges and opportunities for mining adverse drug reactions: Perspectives from pharma, regulatory agencies, healthcare providers and consumers"
text mining,aid,marketing,"Challenges and opportunities for mining adverse drug reactions: Perspectives from pharma, regulatory agencies, healthcare providers and consumers"
text mining,aid,post-market surveillance,"Challenges and opportunities for mining adverse drug reactions: Perspectives from pharma, regulatory agencies, healthcare providers and consumers"
stakeholders,embrace,natural language processing,"Challenges and opportunities for mining adverse drug reactions: Perspectives from pharma, regulatory agencies, healthcare providers and consumers"
GAI,augments,logistics systems,Digital Agents and Generative Artificial Intelligence in Support of Logistics 5.0
DAs,automates,resource flows,Digital Agents and Generative Artificial Intelligence in Support of Logistics 5.0
GAI-DA applications,enhances,collaboration between organizations,Digital Agents and Generative Artificial Intelligence in Support of Logistics 5.0
GAI-DA technologies,catalyzes,value chain optimization,Digital Agents and Generative Artificial Intelligence in Support of Logistics 5.0
GAI-DA implementations,require,synchronized evolution across 4Ps,Digital Agents and Generative Artificial Intelligence in Support of Logistics 5.0
GAI-DA solutions,embeds,core logistics functions,Digital Agents and Generative Artificial Intelligence in Support of Logistics 5.0
human-AI collaboration,requires,adaptive workflow redesign,Digital Agents and Generative Artificial Intelligence in Support of Logistics 5.0
Advertisers,requires,AdGenius,AdGenius: An AI-Powered Platform for Ad Deployment and Distribution
AdGenius,automates,Advertising Workflow,AdGenius: An AI-Powered Platform for Ad Deployment and Distribution
AdGenius,integrates,Machine Learning,AdGenius: An AI-Powered Platform for Ad Deployment and Distribution
AdGenius,uses,Generative AI,AdGenius: An AI-Powered Platform for Ad Deployment and Distribution
AdGenius,includes,Audience Segmentation,AdGenius: An AI-Powered Platform for Ad Deployment and Distribution
AdGenius,includes,Content Optimization,AdGenius: An AI-Powered Platform for Ad Deployment and Distribution
AdGenius,enables,Data-Driven Decision-Making,AdGenius: An AI-Powered Platform for Ad Deployment and Distribution
AdGenius,demonstrates,Improvements in Engagement Rates,AdGenius: An AI-Powered Platform for Ad Deployment and Distribution
universities,devote,AI,Curriculum–Skill Gap in the AI Era: Assessing Alignment in Communication-Related Programs
job ads,allocate,SEO,Curriculum–Skill Gap in the AI Era: Assessing Alignment in Communication-Related Programs
academy,emphasize,ethics,Curriculum–Skill Gap in the AI Era: Assessing Alignment in Communication-Related Programs
recruitment discourse,focus,campaign performance,Curriculum–Skill Gap in the AI Era: Assessing Alignment in Communication-Related Programs
universities,foreground,"Politics, Power & Governance",Curriculum–Skill Gap in the AI Era: Assessing Alignment in Communication-Related Programs
advertisers,concentrate,Campaign Execution & Performance,Curriculum–Skill Gap in the AI Era: Assessing Alignment in Communication-Related Programs
curricula,address,environmental externalities of AI,Curriculum–Skill Gap in the AI Era: Assessing Alignment in Communication-Related Programs
SMEs,requires,advanced analytics,Data-Driven Marketing Processes: A Roadmap for Big Data Analytics Adoption in a Brazilian SaaS SME
SMEs,integrates,AI tools,Data-Driven Marketing Processes: A Roadmap for Big Data Analytics Adoption in a Brazilian SaaS SME
SMEs,transforms,marketing processes,Data-Driven Marketing Processes: A Roadmap for Big Data Analytics Adoption in a Brazilian SaaS SME
LLMs,augments,semantic analysis process,Data-Driven Marketing Processes: A Roadmap for Big Data Analytics Adoption in a Brazilian SaaS SME
Generative AI,creates,tailored marketing content,Data-Driven Marketing Processes: A Roadmap for Big Data Analytics Adoption in a Brazilian SaaS SME
AI tools,automates,data collection,Data-Driven Marketing Processes: A Roadmap for Big Data Analytics Adoption in a Brazilian SaaS SME
SMEs,overcomes,resource constraints,Data-Driven Marketing Processes: A Roadmap for Big Data Analytics Adoption in a Brazilian SaaS SME
Organizational adjustments,incorporates,strategic planning,Data-Driven Marketing Processes: A Roadmap for Big Data Analytics Adoption in a Brazilian SaaS SME
AI,augments,employee innovation,Generative AI in international hotel marketing: impacts on employee creativity and performance
organizational support,amplifies,AI-driven innovative behavior,Generative AI in international hotel marketing: impacts on employee creativity and performance
government support,influences,AI-driven innovative behavior,Generative AI in international hotel marketing: impacts on employee creativity and performance
technological competence,influences,AI-driven innovative behavior,Generative AI in international hotel marketing: impacts on employee creativity and performance
AI strategy,amplifies,employee innovation,Generative AI in international hotel marketing: impacts on employee creativity and performance
organizational support,requires,AI training,Generative AI in international hotel marketing: impacts on employee creativity and performance
hotels,can benefit from,integrating generative AI tools with workflows,Generative AI in international hotel marketing: impacts on employee creativity and performance
AI,augments,research workflow,TrendMD: Using AI to enhance discovery and achieve publisher goals
TrendMD,helps,publishers grow audience,TrendMD: Using AI to enhance discovery and achieve publisher goals
TrendMD,increases,website traffic,TrendMD: Using AI to enhance discovery and achieve publisher goals
TrendMD,builds,readership,TrendMD: Using AI to enhance discovery and achieve publisher goals
Generative AI,augments,Graphic Advertisement Design,AdvisorAI: Transforming Graphic Advertising with Generative AI-Enhanced Design Strategies
Graphic Advertisement Design,requires,Accurate Conveyance of Image Information,AdvisorAI: Transforming Graphic Advertising with Generative AI-Enhanced Design Strategies
Generative AI,fails to produce,Images Designers Need,AdvisorAI: Transforming Graphic Advertising with Generative AI-Enhanced Design Strategies
AdvisorAI,assists,Novice Graphic Designers,AdvisorAI: Transforming Graphic Advertising with Generative AI-Enhanced Design Strategies
AdvisorAI,analyzes,Users' Natural Language Inputs,AdvisorAI: Transforming Graphic Advertising with Generative AI-Enhanced Design Strategies
AdvisorAI,converts,Design Feature Texts,AdvisorAI: Transforming Graphic Advertising with Generative AI-Enhanced Design Strategies
AdvisorAI,transforms,Design Features into Precise Parameter Combinations,AdvisorAI: Transforming Graphic Advertising with Generative AI-Enhanced Design Strategies
AdvisorAI,aids,Users in Understanding and Adjusting Parameters,AdvisorAI: Transforming Graphic Advertising with Generative AI-Enhanced Design Strategies
AdvisorAI,drives,Image Creation,AdvisorAI: Transforming Graphic Advertising with Generative AI-Enhanced Design Strategies
Adobe Firefly,creates,visuals,Researching Character Design with Generative AI: –Focusing on Creating Five Probiotic Characters
ChatGPT,aids,information synthesis,Researching Character Design with Generative AI: –Focusing on Creating Five Probiotic Characters
Generative AI,augments,traditional design,Researching Character Design with Generative AI: –Focusing on Creating Five Probiotic Characters
Generative AI,improves,speed and precision,Researching Character Design with Generative AI: –Focusing on Creating Five Probiotic Characters
ChatGPT,requires,human oversight,Researching Character Design with Generative AI: –Focusing on Creating Five Probiotic Characters
AI tools,enhances,literature reviews,AI-enhanced literature reviews: liberating scholars for impact in service marketing
AI tools,allows,redirect intellectual energy,AI-enhanced literature reviews: liberating scholars for impact in service marketing
researchers,uses,AI throughout research process,AI-enhanced literature reviews: liberating scholars for impact in service marketing
faculty with heavy teaching loads,benefits from,compressing initial research stages,AI-enhanced literature reviews: liberating scholars for impact in service marketing
journal editors and doctoral program directors,evaluate,AI-assisted research methods,AI-enhanced literature reviews: liberating scholars for impact in service marketing
radiologists,use,AI,The Economic Impact of AI on Breast Imaging
CAD,augments,breast imaging,The Economic Impact of AI on Breast Imaging
AI,improves,workflow efficiency,The Economic Impact of AI on Breast Imaging
breast radiologists,requires,payment for AI,The Economic Impact of AI on Breast Imaging
AI,augments,decision-making,"AI Integration in Key Management Domains: Trends, Insights, Challenges Risks, and Ethical Considerations"
AI,improves,customer service,"AI Integration in Key Management Domains: Trends, Insights, Challenges Risks, and Ethical Considerations"
AI,optimizes,workflow,"AI Integration in Key Management Domains: Trends, Insights, Challenges Risks, and Ethical Considerations"
AI,requires,skill shortages,"AI Integration in Key Management Domains: Trends, Insights, Challenges Risks, and Ethical Considerations"
AI,threatens,model failures,"AI Integration in Key Management Domains: Trends, Insights, Challenges Risks, and Ethical Considerations"
AI,analyses,data quality issues,"AI Integration in Key Management Domains: Trends, Insights, Challenges Risks, and Ethical Considerations"
AI,enhances,efficiency,"AI Integration in Key Management Domains: Trends, Insights, Challenges Risks, and Ethical Considerations"
AI,augments,human resources,"AI Integration in Key Management Domains: Trends, Insights, Challenges Risks, and Ethical Considerations"
AI,improves,finance,"AI Integration in Key Management Domains: Trends, Insights, Challenges Risks, and Ethical Considerations"
LLMs,augments,marketing workflows,MEASURING AND IMPROVING PERSUASIVENESS OF LARGE LANGUAGE MODELS
LLMs,interacts,humans,MEASURING AND IMPROVING PERSUASIVENESS OF LARGE LANGUAGE MODELS
PersuasionBench,measures,persuasiveness,MEASURING AND IMPROVING PERSUASIVENESS OF LARGE LANGUAGE MODELS
PersuasionArena,benchmarks,LLMs' persuasion abilities,MEASURING AND IMPROVING PERSUASIVENESS OF LARGE LANGUAGE MODELS
transsuasion,transforms,non-persuasive language,MEASURING AND IMPROVING PERSUASIVENESS OF LARGE LANGUAGE MODELS
GPT-4o,compares,best human persuader,MEASURING AND IMPROVING PERSUASIVENESS OF LARGE LANGUAGE MODELS
model size,correlates,persuasiveness,MEASURING AND IMPROVING PERSUASIVENESS OF LARGE LANGUAGE MODELS
targeted training,enhances,smaller models' persuasive capabilities,MEASURING AND IMPROVING PERSUASIVENESS OF LARGE LANGUAGE MODELS
RPA,improves,NLP,"Research on ""AI+RPA"" Interactive Technology of Intelligent Financial Management Platform"
AI,combines,voice recognition,"Research on ""AI+RPA"" Interactive Technology of Intelligent Financial Management Platform"
AI,combines,text semantic analysis,"Research on ""AI+RPA"" Interactive Technology of Intelligent Financial Management Platform"
AI,combines,text intelligent question answering,"Research on ""AI+RPA"" Interactive Technology of Intelligent Financial Management Platform"
RPA,realizes,automatic execution,"Research on ""AI+RPA"" Interactive Technology of Intelligent Financial Management Platform"
AI,meets,interactive humanization,"Research on ""AI+RPA"" Interactive Technology of Intelligent Financial Management Platform"
AI,meets,business automation,"Research on ""AI+RPA"" Interactive Technology of Intelligent Financial Management Platform"
AI,meets,intelligence,"Research on ""AI+RPA"" Interactive Technology of Intelligent Financial Management Platform"
NLP,improves,text analytics,TARFlow: A Workflow System for Text Analytics and Retrieval
Text data,augments,insights,TARFlow: A Workflow System for Text Analytics and Retrieval
TARFlow,enables,non-technical people,TARFlow: A Workflow System for Text Analytics and Retrieval
Generative AI,automates,complex routines,Accelerating Time-to-Market: The Role of Generative AI in Product Development
Generative AI,increases,creativity,Accelerating Time-to-Market: The Role of Generative AI in Product Development
Generative AI,improves,workflows,Accelerating Time-to-Market: The Role of Generative AI in Product Development
Generative AI,reduces,timelines in development,Accelerating Time-to-Market: The Role of Generative AI in Product Development
Generative AI,accelerates,product development quality,Accelerating Time-to-Market: The Role of Generative AI in Product Development
Generative AI,increases,companies' competitiveness,Accelerating Time-to-Market: The Role of Generative AI in Product Development
marketing,requires,ML,Machine learning in marketing
researchers,learn,ML,Machine learning in marketing
marketing researchers,use,bottom-up strategy,Machine learning in marketing
marketing researchers,use,top-down strategy,Machine learning in marketing
marketing,benefits from,ML applications,Machine learning in marketing
Generative AI,automates,complex tasks,Generative AI Tools: From Algorithms to Applications
AI-powered tools,enhances,workflows,Generative AI Tools: From Algorithms to Applications
Generative AI,creates,human-like content,Generative AI Tools: From Algorithms to Applications
ChatGPT,integrates,IoT ecosystems,Generative AI Tools: From Algorithms to Applications
AI literacy,requires,future workforce success,Generative AI Tools: From Algorithms to Applications
AI,augments,design,Progress in the application of artificial intelligence technology in the garment industry from the perspective of product life cycle; [产品生命周期视域下人工智能技术在服装产业中的应用进展]
AI,replaces,manual operations,Progress in the application of artificial intelligence technology in the garment industry from the perspective of product life cycle; [产品生命周期视域下人工智能技术在服装产业中的应用进展]
AI,analyses,customer preferences,Progress in the application of artificial intelligence technology in the garment industry from the perspective of product life cycle; [产品生命周期视域下人工智能技术在服装产业中的应用进展]
AI,improves,efficiency,Progress in the application of artificial intelligence technology in the garment industry from the perspective of product life cycle; [产品生命周期视域下人工智能技术在服装产业中的应用进展]
PLM,integrates,AI capabilities,Progress in the application of artificial intelligence technology in the garment industry from the perspective of product life cycle; [产品生命周期视域下人工智能技术在服装产业中的应用进展]
PLM,streamlines,workflows,Progress in the application of artificial intelligence technology in the garment industry from the perspective of product life cycle; [产品生命周期视域下人工智能技术在服装产业中的应用进展]
research,lacks,comprehensive understanding,Progress in the application of artificial intelligence technology in the garment industry from the perspective of product life cycle; [产品生命周期视域下人工智能技术在服装产业中的应用进展]
KOLs,requires,AI,Streamlining Virtual KOL Generation Through Modular Generative AI Architecture
marketing professionals,uses,GenKOL,Streamlining Virtual KOL Generation Through Modular Generative AI Architecture
GenKOL,augments,brand credibility,Streamlining Virtual KOL Generation Through Modular Generative AI Architecture
GenKOL,replaces,human KOLs,Streamlining Virtual KOL Generation Through Modular Generative AI Architecture
marketing professionals,creates,virtual KOL images,Streamlining Virtual KOL Generation Through Modular Generative AI Architecture
AI,augments,IMC,Synergizing AI and Integrated Marketing Communications
corporations,requires,AI integration,Synergizing AI and Integrated Marketing Communications
marketing faculty,enhances,practical understanding,Synergizing AI and Integrated Marketing Communications
manufacturers,require,sustainability,Optimisation of Manufacturing Workflow Through Generative Artificial Intelligence
manufacturers,enhance,efficiency,Optimisation of Manufacturing Workflow Through Generative Artificial Intelligence
AI forecast,cause,inconvenience,Optimisation of Manufacturing Workflow Through Generative Artificial Intelligence
AI forecast,have,catastrophic consequences,Optimisation of Manufacturing Workflow Through Generative Artificial Intelligence
users,require,extensive time and effort,Optimisation of Manufacturing Workflow Through Generative Artificial Intelligence
data lake,rapidly deteriorate into,data swamp,Optimisation of Manufacturing Workflow Through Generative Artificial Intelligence
applications,perpetuate,technological debt,Optimisation of Manufacturing Workflow Through Generative Artificial Intelligence
manufacturers,incorporate,generative AI,Optimisation of Manufacturing Workflow Through Generative Artificial Intelligence
analytical AI,utilise,past data,Optimisation of Manufacturing Workflow Through Generative Artificial Intelligence
Gen-AI,represent,new opportunity,Optimisation of Manufacturing Workflow Through Generative Artificial Intelligence
corporations,adopt,Gen-AI technologies,Optimisation of Manufacturing Workflow Through Generative Artificial Intelligence
ReTV,develops,Trans-Vector Publishing,AI and data-driven media analysis of TV content for optimised digital content marketing
Content Wizard,provides,Trans-Vector Publishing,AI and data-driven media analysis of TV content for optimised digital content marketing
predictive analytics,uses,online data,AI and data-driven media analysis of TV content for optimised digital content marketing
neural networks,augments,embeddings,AI and data-driven media analysis of TV content for optimised digital content marketing
GAN,creates,video summary,AI and data-driven media analysis of TV content for optimised digital content marketing
media organisations,requires,digital content marketing workflow,AI and data-driven media analysis of TV content for optimised digital content marketing
Professionals,adopt,AI,From experimentation to integration: Mapping AI use across European media and communication professionals
Marketing,reports,higher adoption,From experimentation to integration: Mapping AI use across European media and communication professionals
Journalists,report,lowest usage,From experimentation to integration: Mapping AI use across European media and communication professionals
