source,relationship,target,source_paper_title
Generative AI,enhances,account-based marketing,Agentic artificial intelligence in the enterprise
Generative AI,generates,actions,Agentic artificial intelligence in the enterprise
Generative AI,reasons,unstructured data,Agentic artificial intelligence in the enterprise
Agentic systems,implements,enterprises,Agentic artificial intelligence in the enterprise
Machine learning,automates,large-scale processes,Agentic artificial intelligence in the enterprise
Predictive modelling,enhances,targeting and personalisation,Agentic artificial intelligence in the enterprise
Marketers,use,GAI,The Impact of Generative AI and ChatGPT on Creating Digital Advertising Campaigns
ChatGPT,augments,Advert Design,The Impact of Generative AI and ChatGPT on Creating Digital Advertising Campaigns
GAI,improves,Digital Advertising Campaigns,The Impact of Generative AI and ChatGPT on Creating Digital Advertising Campaigns
Marketers,collaborate,GAI-based tools,The Impact of Generative AI and ChatGPT on Creating Digital Advertising Campaigns
Generative AI,augments,medical imaging,Application of generative AI in healthcare systems
Generative AI,facilitates,administrative process,Application of generative AI in healthcare systems
Generative AI,helps,diagnosis and decision-making,Application of generative AI in healthcare systems
Generative AI,suggests,treatment plans,Application of generative AI in healthcare systems
Generative AI,empowers,treatment process,Application of generative AI in healthcare systems
AI,evolves,customer segmentation,Fair and Inclusive Customer Segmentation in AI- Driven Marketing
algorithmic segmentation,analyzes,bias in multicultural markets,Fair and Inclusive Customer Segmentation in AI- Driven Marketing
LIME and SHAP,uses,explainable frameworks,Fair and Inclusive Customer Segmentation in AI- Driven Marketing
fairness metrics,identifies,structural bias,Fair and Inclusive Customer Segmentation in AI- Driven Marketing
segmentation outputs,flows into,generative AI driven personalization,Fair and Inclusive Customer Segmentation in AI- Driven Marketing
AI sales agents,replaces,human sales agents,Fair and Inclusive Customer Segmentation in AI- Driven Marketing
AI governance,requires,training,Designing Buy-In: Leveraging HCI to Drive Responsible AI
Generative AI,democratizes,access,Designing Buy-In: Leveraging HCI to Drive Responsible AI
AI governance professionals,face,stakeholder resistance,Designing Buy-In: Leveraging HCI to Drive Responsible AI
Executive support,legitimizes,governance efforts,Designing Buy-In: Leveraging HCI to Drive Responsible AI
Mandates,are ineffective without,grassroots adoption,Designing Buy-In: Leveraging HCI to Drive Responsible AI
Grassroots engagement,requires,"education, collaboration, and trust-building",Designing Buy-In: Leveraging HCI to Drive Responsible AI
Participatory Design (PD),informs,HCI-informed approach to governance,Designing Buy-In: Leveraging HCI to Drive Responsible AI
Socio-Technical Systems (STS) Theory,informs,HCI-informed approach to governance,Designing Buy-In: Leveraging HCI to Drive Responsible AI
Generative AI,transforms,digital advertising,Understanding generative AI implementation in digital advertising among retail SMEs in Pakistan
Retail SMEs,requires,strategic planning,Understanding generative AI implementation in digital advertising among retail SMEs in Pakistan
generative AI technologies,enhances,innovation,Understanding generative AI implementation in digital advertising among retail SMEs in Pakistan
generative AI technologies,improves,personalization,Understanding generative AI implementation in digital advertising among retail SMEs in Pakistan
generative AI technologies,augments,engagement,Understanding generative AI implementation in digital advertising among retail SMEs in Pakistan
AI,augments,marketing,Interactive AI for Advancing and Generating Women's Traditional Fashion in Saudi Arabia
AI,creates,classification system,Interactive AI for Advancing and Generating Women's Traditional Fashion in Saudi Arabia
AI,improves,accuracy,Interactive AI for Advancing and Generating Women's Traditional Fashion in Saudi Arabia
users,requires,feedback,Interactive AI for Advancing and Generating Women's Traditional Fashion in Saudi Arabia
specialists,contributes,strategies,Interactive AI for Advancing and Generating Women's Traditional Fashion in Saudi Arabia
leader,requires,congruent moral judgments,How moral judgment incongruence affects employee job crafting: The moderating roles of AI-generated ads' verisimilitude and creativity
employees,foster,approach job crafting,How moral judgment incongruence affects employee job crafting: The moderating roles of AI-generated ads' verisimilitude and creativity
moral incongruence,reduces,avoidance job crafting,How moral judgment incongruence affects employee job crafting: The moderating roles of AI-generated ads' verisimilitude and creativity
ad verisimilitude,intensifies,negative effects,How moral judgment incongruence affects employee job crafting: The moderating roles of AI-generated ads' verisimilitude and creativity
ad creativity,mitigates,negative effects,How moral judgment incongruence affects employee job crafting: The moderating roles of AI-generated ads' verisimilitude and creativity
moral incongruence,promotes,avoidance job crafting,How moral judgment incongruence affects employee job crafting: The moderating roles of AI-generated ads' verisimilitude and creativity
traveler,engages,generative AI,Authenticity in the Age of Generative AI: Reimagining Host-Guest Relations in Travel Planning
digital guest,co-performs,digital host,Authenticity in the Age of Generative AI: Reimagining Host-Guest Relations in Travel Planning
AI roles,shaped by,power dynamics,Authenticity in the Age of Generative AI: Reimagining Host-Guest Relations in Travel Planning
authenticity pathways,occur across,pre-travel experience stages,Authenticity in the Age of Generative AI: Reimagining Host-Guest Relations in Travel Planning
human-AI collaboration,advanced by,relational and performative framework,Authenticity in the Age of Generative AI: Reimagining Host-Guest Relations in Travel Planning
Generative AI,augments,drug marketing strategies,AI-Driven Analysis of Drug Marketing Efficiency: Unveiling FDA Approval to Market Release Dynamics
AI,analyses,time interval between FDA approval dates and market release dates,AI-Driven Analysis of Drug Marketing Efficiency: Unveiling FDA Approval to Market Release Dynamics
Generative AI,creates,Python code for analysis,AI-Driven Analysis of Drug Marketing Efficiency: Unveiling FDA Approval to Market Release Dynamics
Drug manufacturers,requires,AI-driven strategies,AI-Driven Analysis of Drug Marketing Efficiency: Unveiling FDA Approval to Market Release Dynamics
AI-driven strategies,improves,compliance and decision-making efficiency,AI-Driven Analysis of Drug Marketing Efficiency: Unveiling FDA Approval to Market Release Dynamics
Generative AI,enhances,marketing speed,AI-Driven Analysis of Drug Marketing Efficiency: Unveiling FDA Approval to Market Release Dynamics
Generative AI,applies,Computational Biology,"10th International Conference on Information and Communication Technology for Intelligent Systems, ICTIS 2025"
AI-Powered Marketing,threatens,Digital Advertising Careers,"10th International Conference on Information and Communication Technology for Intelligent Systems, ICTIS 2025"
Generative AI,augments,Diabetic Retinopathy Detection,"10th International Conference on Information and Communication Technology for Intelligent Systems, ICTIS 2025"
GenAI,augments,advertising,Alignment of GenAI Modalities With Product Types in Generating Ads: The Mediating Roles of Cognitive Load and Perceived Immersion
multimodal AI,is more suitable for,experience products,Alignment of GenAI Modalities With Product Types in Generating Ads: The Mediating Roles of Cognitive Load and Perceived Immersion
multimodal AI ads,enhance,consumer immersion,Alignment of GenAI Modalities With Product Types in Generating Ads: The Mediating Roles of Cognitive Load and Perceived Immersion
multimodal AI ads,generate,favorable marketing outcomes,Alignment of GenAI Modalities With Product Types in Generating Ads: The Mediating Roles of Cognitive Load and Perceived Immersion
unimodal AI content,reduces,cognitive load of consumers,Alignment of GenAI Modalities With Product Types in Generating Ads: The Mediating Roles of Cognitive Load and Perceived Immersion
unimodal AI content,strengthens,purchase intentions,Alignment of GenAI Modalities With Product Types in Generating Ads: The Mediating Roles of Cognitive Load and Perceived Immersion
GenAI,requires,AI literacy,Structured integration of AI in brand management education: A constructivist approach to preventing overreliance and ensuring active engagement
GenAI,augments,student engagement,Structured integration of AI in brand management education: A constructivist approach to preventing overreliance and ensuring active engagement
structured framework,improves,deep learning,Structured integration of AI in brand management education: A constructivist approach to preventing overreliance and ensuring active engagement
AI tools,threatens,student performance,Structured integration of AI in brand management education: A constructivist approach to preventing overreliance and ensuring active engagement
structured AI integration,creates,balanced AI use,Structured integration of AI in brand management education: A constructivist approach to preventing overreliance and ensuring active engagement
GAN,generates,synthetic faces,Privacy-Preserving Multi-Modal Biometric Systems: A GAN and Blockchain-Based Approach
K-means,enables,actionable groups,Privacy-Preserving Multi-Modal Biometric Systems: A GAN and Blockchain-Based Approach
blockchain technology,guarantees,safe administration,Privacy-Preserving Multi-Modal Biometric Systems: A GAN and Blockchain-Based Approach
GAN,mitigates,risks associated with sensitive biometric data,Privacy-Preserving Multi-Modal Biometric Systems: A GAN and Blockchain-Based Approach
K-means,supports,privacy-compliant applications,Privacy-Preserving Multi-Modal Biometric Systems: A GAN and Blockchain-Based Approach
blockchain technology,blocks,unwanted access,Privacy-Preserving Multi-Modal Biometric Systems: A GAN and Blockchain-Based Approach
brands,requires,AI,Who Should Lead and What to Say? Exploring AI-Dominant vs. Human-Dominant Content Creation for Informational and Emotional Marketing
humans,collaborates,AI,Who Should Lead and What to Say? Exploring AI-Dominant vs. Human-Dominant Content Creation for Informational and Emotional Marketing
AI,augments,content creation,Who Should Lead and What to Say? Exploring AI-Dominant vs. Human-Dominant Content Creation for Informational and Emotional Marketing
human-AI collaboration,improves,engagement,Who Should Lead and What to Say? Exploring AI-Dominant vs. Human-Dominant Content Creation for Informational and Emotional Marketing
AI-dominant collaboration,enhances,informational content engagement,Who Should Lead and What to Say? Exploring AI-Dominant vs. Human-Dominant Content Creation for Informational and Emotional Marketing
human-dominant collaboration,strengthens,emotional content engagement,Who Should Lead and What to Say? Exploring AI-Dominant vs. Human-Dominant Content Creation for Informational and Emotional Marketing
Generative AI,augments,Ecommerce,Impact of Generative AI on E-Commerce: Systematic Review
Generative AI,creates,Customized Content,Impact of Generative AI on E-Commerce: Systematic Review
Generative AI,develops,Conversational Agents,Impact of Generative AI on E-Commerce: Systematic Review
Generative AI,generates,Artificial Images,Impact of Generative AI on E-Commerce: Systematic Review
Generative AI,requires,Data Privacy,Impact of Generative AI on E-Commerce: Systematic Review
Generative AI,threatens,Copyright Questions,Impact of Generative AI on E-Commerce: Systematic Review
marketers,rely,AI tools,Ethical artificial intelligence adoption in marketing teams: The FAIR framework
marketing teams,automate,content creation,Ethical artificial intelligence adoption in marketing teams: The FAIR framework
campaigns,accelerate,execution,Ethical artificial intelligence adoption in marketing teams: The FAIR framework
outreach,personalise,scale,Ethical artificial intelligence adoption in marketing teams: The FAIR framework
AI ethics,requires,guidance,Ethical artificial intelligence adoption in marketing teams: The FAIR framework
marketing teams,use,AI internally,Ethical artificial intelligence adoption in marketing teams: The FAIR framework
FAIR framework,emphasises,core values,Ethical artificial intelligence adoption in marketing teams: The FAIR framework
FAIR method,presents,best practices,Ethical artificial intelligence adoption in marketing teams: The FAIR framework
ChatGPT,creates,experiential narratives,Experiential Narratives in Marketing: A Comparison of Generative AI and Human Content
human experts,exhibit,embodied cognition and lexical diversity,Experiential Narratives in Marketing: A Comparison of Generative AI and Human Content
ChatGPT 3.5,displays,positive affect,Experiential Narratives in Marketing: A Comparison of Generative AI and Human Content
human raters,struggle to notice,differences between AI and human reviews,Experiential Narratives in Marketing: A Comparison of Generative AI and Human Content
AI-generated content,contains,hallucination instances,Experiential Narratives in Marketing: A Comparison of Generative AI and Human Content
ChatGPT 4 model,demonstrates,superior lexical diversity,Experiential Narratives in Marketing: A Comparison of Generative AI and Human Content
human copywriters,compared to,inferior in purchase intentions,Experiential Narratives in Marketing: A Comparison of Generative AI and Human Content
large language models,presents,positive emotions and influences purchase intent,Experiential Narratives in Marketing: A Comparison of Generative AI and Human Content
generative AI,threatens,human-authored content limitations,Experiential Narratives in Marketing: A Comparison of Generative AI and Human Content
students,benefits from,ChatGPT,Investigating the effects of generative ai on student satisfaction and self-efficacy
students,perceive learning gains,ChatGPT,Investigating the effects of generative ai on student satisfaction and self-efficacy
instructors,enhances self-efficacy of,students,Investigating the effects of generative ai on student satisfaction and self-efficacy
students,satisfaction with instructor is influenced by,ChatGPT,Investigating the effects of generative ai on student satisfaction and self-efficacy
Gen-AI,augments,academic research,"Artificial intelligence in academic Research: Contributor, constructivist or cheat?"
Chatbots,integrated,academic research,"Artificial intelligence in academic Research: Contributor, constructivist or cheat?"
machine learning,replaces,traditional methods,"Artificial intelligence in academic Research: Contributor, constructivist or cheat?"
AI,supports,marketing research,"Artificial intelligence in academic Research: Contributor, constructivist or cheat?"
AI,enhances,diversity,"AI- Driven Campaigns: Inclusive Targeting and Messaging for Diversity, Equity, and Inclusion in Marketing"
AI,augments,equity,"AI- Driven Campaigns: Inclusive Targeting and Messaging for Diversity, Equity, and Inclusion in Marketing"
AI,creates,inclusive communication,"AI- Driven Campaigns: Inclusive Targeting and Messaging for Diversity, Equity, and Inclusion in Marketing"
human-centered approaches,mitigates,discrimination,"AI- Driven Campaigns: Inclusive Targeting and Messaging for Diversity, Equity, and Inclusion in Marketing"
AI-driven marketing,strengthens,trust,"AI- Driven Campaigns: Inclusive Targeting and Messaging for Diversity, Equity, and Inclusion in Marketing"
Generative AI,augments,Marketing Strategies,Harnessing Generative AI for Transforming Marketing Strategies: Enhancing Consumer Engagement through Precision and Personalization
Conversational AI,improves,User Interaction,Harnessing Generative AI for Transforming Marketing Strategies: Enhancing Consumer Engagement through Precision and Personalization
Advanced Segmentation Techniques,uses,Consumers,Harnessing Generative AI for Transforming Marketing Strategies: Enhancing Consumer Engagement through Precision and Personalization
Generative Models,creates,Personalized Content,Harnessing Generative AI for Transforming Marketing Strategies: Enhancing Consumer Engagement through Precision and Personalization
Data Driven Decision Making,requires,Marketing Performance Metrics,Harnessing Generative AI for Transforming Marketing Strategies: Enhancing Consumer Engagement through Precision and Personalization
Retail,requires,Generative AI,Impact of Generative AI on Customer Experience and Personalization in Retail Sector
Marketing strategies,augments,Generative AI,Impact of Generative AI on Customer Experience and Personalization in Retail Sector
Customer engagement,improves,Generative AI,Impact of Generative AI on Customer Experience and Personalization in Retail Sector
GAI,adds,manipulative layer,Disclaimer! This Content Is AI-Generated: How AI-Disclosures Influence Trust in Advertisements and Organizations
consumers,determine,ad elements,Disclaimer! This Content Is AI-Generated: How AI-Disclosures Influence Trust in Advertisements and Organizations
AI disclosures,increases,conceptual AI knowledge,Disclaimer! This Content Is AI-Generated: How AI-Disclosures Influence Trust in Advertisements and Organizations
AI disclosures,increases,attitudinal persuasion knowledge,Disclaimer! This Content Is AI-Generated: How AI-Disclosures Influence Trust in Advertisements and Organizations
AI disclosures,decreases,trust towards advertisement and organization,Disclaimer! This Content Is AI-Generated: How AI-Disclosures Influence Trust in Advertisements and Organizations
disclosure,leads to,increase in trust,Disclaimer! This Content Is AI-Generated: How AI-Disclosures Influence Trust in Advertisements and Organizations
AI,augments,candy development,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
AI,resolves,technical barriers,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
machine learning,optimizes,R&D timelines,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
computer vision,detects,defects,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
AI,accelerates,innovation,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
AI,pioneers,low-sugar alternatives,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
AI,augments,consumer engagement,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
AI,drives,sustainable sourcing,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
AI,requires,collaboration,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
GenAI,augments,content creation,A Conceptual Framework for Exploring the Application of Generative AI in Content Marketing: Emphasizing Its Collaborative Role with Employees and Customers
employee,collaborates,GenAI,A Conceptual Framework for Exploring the Application of Generative AI in Content Marketing: Emphasizing Its Collaborative Role with Employees and Customers
customer,engages,GenAI content,A Conceptual Framework for Exploring the Application of Generative AI in Content Marketing: Emphasizing Its Collaborative Role with Employees and Customers
firm,requires,GenAI integration,A Conceptual Framework for Exploring the Application of Generative AI in Content Marketing: Emphasizing Its Collaborative Role with Employees and Customers
employee,uses,GenAI tools,A Conceptual Framework for Exploring the Application of Generative AI in Content Marketing: Emphasizing Its Collaborative Role with Employees and Customers
Generative AI,transforms,marketing,Workshop: Digital Transformation of Organizations Using Generative AI
Generative AI,enhances,organizational performance,Workshop: Digital Transformation of Organizations Using Generative AI
Generative-AI,augments,Virtual influencers,Should your brand hire virtual influencers? How realism and gender presentation shape trust and purchase intentions
Consumers,trusts,Virtual influencers,Should your brand hire virtual influencers? How realism and gender presentation shape trust and purchase intentions
Form realism,boosts,Perceived usefulness,Should your brand hire virtual influencers? How realism and gender presentation shape trust and purchase intentions
Behavioral realism,enhances,Perceived ease-of-use,Should your brand hire virtual influencers? How realism and gender presentation shape trust and purchase intentions
Social factors,influences,Trust in VIs,Should your brand hire virtual influencers? How realism and gender presentation shape trust and purchase intentions
Privacy concerns,negatively shapes,Trust in VIs,Should your brand hire virtual influencers? How realism and gender presentation shape trust and purchase intentions
Brand attitudes,impacts,Purchase intentions,Should your brand hire virtual influencers? How realism and gender presentation shape trust and purchase intentions
GenAI,augments,human capabilities,Generative AI in Marketing and Principles for Ethical Design and Deployment
GenAI,replaces,human roles,Generative AI in Marketing and Principles for Ethical Design and Deployment
GenAI,requires,ASSURANCE principles,Generative AI in Marketing and Principles for Ethical Design and Deployment
marketers,address,risks and challenges of GenAI,Generative AI in Marketing and Principles for Ethical Design and Deployment
Generative AI,augments,Student Recruitment,AI-Driven Digital Transformation in HE Marketing: Opportunities and Challenges in Student Recruitment
AI-powered recruitment assistants,provides,Multilingual support,AI-Driven Digital Transformation in HE Marketing: Opportunities and Challenges in Student Recruitment
Generative AI ChatBot (CITBot),enhances,User experience,AI-Driven Digital Transformation in HE Marketing: Opportunities and Challenges in Student Recruitment
Large Language Model (LLM),enables,Generative AI development,AI-Driven Digital Transformation in HE Marketing: Opportunities and Challenges in Student Recruitment
Retrieval-Augmented Generation (RAG),augments,LLM capabilities,AI-Driven Digital Transformation in HE Marketing: Opportunities and Challenges in Student Recruitment
CITBot,helps,Users understand University's offerings,AI-Driven Digital Transformation in HE Marketing: Opportunities and Challenges in Student Recruitment
AI,augments,personalized learning,Intelligent Digital Skills Practice and Automated Feedback Module Design: A Case Study of the “New Media Marketing” Course
ITS,requires,NLP,Intelligent Digital Skills Practice and Automated Feedback Module Design: A Case Study of the “New Media Marketing” Course
ITS,requires,ML,Intelligent Digital Skills Practice and Automated Feedback Module Design: A Case Study of the “New Media Marketing” Course
LLM,generates,automated feedback,Intelligent Digital Skills Practice and Automated Feedback Module Design: A Case Study of the “New Media Marketing” Course
AI,parses,unstructured creative text,Intelligent Digital Skills Practice and Automated Feedback Module Design: A Case Study of the “New Media Marketing” Course
AI,evaluates,practice outcomes,Intelligent Digital Skills Practice and Automated Feedback Module Design: A Case Study of the “New Media Marketing” Course
human creativity,augments,generative AI,MindFuse: Towards GenAI Explainability in Marketing Strategy Co-Creation
MindFuse,operates,full marketing lifecycle,MindFuse: Towards GenAI Explainability in Marketing Strategy Co-Creation
MindFuse,uses,attention-based explainability,MindFuse: Towards GenAI Explainability in Marketing Strategy Co-Creation
LLMs,generate,content,MindFuse: Towards GenAI Explainability in Marketing Strategy Co-Creation
LLMs,reason through,content,MindFuse: Towards GenAI Explainability in Marketing Strategy Co-Creation
MindFuse,recommends,in-flight optimizations,MindFuse: Towards GenAI Explainability in Marketing Strategy Co-Creation
MindFuse,diagnoses,ad effectiveness,MindFuse: Towards GenAI Explainability in Marketing Strategy Co-Creation
MindFuse,guides,content iteration,MindFuse: Towards GenAI Explainability in Marketing Strategy Co-Creation
MindFuse,aligns,strategic goals,MindFuse: Towards GenAI Explainability in Marketing Strategy Co-Creation
platforms like MindFuse and Google DeepMind's ACAI,will reset,client expectations,MindFuse: Towards GenAI Explainability in Marketing Strategy Co-Creation
platforms like MindFuse and Google DeepMind's ACAI,will redefine,skillsets demanded from marketers,MindFuse: Towards GenAI Explainability in Marketing Strategy Co-Creation
AI,augments,marketing,Matching generative AI word-of-mouth with product type: Impact on consumer adoption and trust
consumers,adopt,AI WOM,Matching generative AI word-of-mouth with product type: Impact on consumer adoption and trust
utilitarian products,match,unidirectional AI WOM,Matching generative AI word-of-mouth with product type: Impact on consumer adoption and trust
hedonic products,match,interactive AI WOM,Matching generative AI word-of-mouth with product type: Impact on consumer adoption and trust
functional trust,mediates,AI WOM adoption,Matching generative AI word-of-mouth with product type: Impact on consumer adoption and trust
human-like trust,mediates,AI WOM adoption,Matching generative AI word-of-mouth with product type: Impact on consumer adoption and trust
researchers,requires,methodological innovations,Sentiment analysis: From rule-based lexicons to large language models
transformer-based approaches,improves,accuracy,Sentiment analysis: From rule-based lexicons to large language models
domain adaptation,augments,performance,Sentiment analysis: From rule-based lexicons to large language models
prompt engineering,enhances,state-of-the-art performance,Sentiment analysis: From rule-based lexicons to large language models
generative AI,threatens,explainability,Sentiment analysis: From rule-based lexicons to large language models
Generative AI,creates,human-like content,Breaking Barriers Through Generative AI: Charting a Global Empowered Future
AI,improves,decision-making,Breaking Barriers Through Generative AI: Charting a Global Empowered Future
Generative AI,flattens,existing structures,Breaking Barriers Through Generative AI: Charting a Global Empowered Future
Progressive Generative AI,makes available,people and groups,Breaking Barriers Through Generative AI: Charting a Global Empowered Future
Generative AI,empowers,global citizens,Breaking Barriers Through Generative AI: Charting a Global Empowered Future
AI,removes,barriers to innovation,Breaking Barriers Through Generative AI: Charting a Global Empowered Future
Generative AI,generates,"potential for revolutionizing education, health care, and start-ups",Breaking Barriers Through Generative AI: Charting a Global Empowered Future
Generative AI,provides,small enterprises with marketing arsenal,Breaking Barriers Through Generative AI: Charting a Global Empowered Future
AI,decentralizes,innovation,Breaking Barriers Through Generative AI: Charting a Global Empowered Future
Access to generative AI tools,requires,affordable infrastructure and open-source platforms,Breaking Barriers Through Generative AI: Charting a Global Empowered Future
Generative AI systems,should not preach discrimination,public,Breaking Barriers Through Generative AI: Charting a Global Empowered Future
GenAI,augments,qualitative analysis,Understanding luxury shaming: a multi-study exploration using qualitative inquiry and generative AI
luxury shaming,triggers,emotional responses,Understanding luxury shaming: a multi-study exploration using qualitative inquiry and generative AI
Generative AI,automates,content generation,Evaluation of Generative AI in E-commerce Product Description Generation: An Experimental Study
AI models,compares,BLEU and ROUGE scores,Evaluation of Generative AI in E-commerce Product Description Generation: An Experimental Study
GPT-4,excels in,SEO-driven sales copy,Evaluation of Generative AI in E-commerce Product Description Generation: An Experimental Study
Claude,generates,storytelling-rich product descriptions,Evaluation of Generative AI in E-commerce Product Description Generation: An Experimental Study
DeepSeek,provides,"precise, factual descriptions",Evaluation of Generative AI in E-commerce Product Description Generation: An Experimental Study
LLaMA,offers,"simple, cost-effective product descriptions",Evaluation of Generative AI in E-commerce Product Description Generation: An Experimental Study
OpenHermes-2.5-Mistral-7B,creates,engaging and informative product descriptions,Evaluation of Generative AI in E-commerce Product Description Generation: An Experimental Study
human influencers,rivals,virtual influencers,How real is real enough? Unveiling the diverse power of generative AI-enabled virtual influencers and the dynamics of human responses
followers,responds to,virtual influencers,How real is real enough? Unveiling the diverse power of generative AI-enabled virtual influencers and the dynamics of human responses
Generative AI,transforms,marketing,Securing the Imagination: Security and Privacy Challenges in Generative AI Systems
GPT,introduces,security risks,Securing the Imagination: Security and Privacy Challenges in Generative AI Systems
DALL·E,exposes,sensitive data,Securing the Imagination: Security and Privacy Challenges in Generative AI Systems
Stable Diffusion,leads to,misinformation,Securing the Imagination: Security and Privacy Challenges in Generative AI Systems
Generative AI,requires,technical safeguards,Securing the Imagination: Security and Privacy Challenges in Generative AI Systems
fashion,embraces,ai,AI in Fashion System-Design to Customer Feedback
ai,streamlines,processes,AI in Fashion System-Design to Customer Feedback
ai,enhances,creativity,AI in Fashion System-Design to Customer Feedback
ai,improves,customer experiences,AI in Fashion System-Design to Customer Feedback
trend forecasting,uses,data mining,AI in Fashion System-Design to Customer Feedback
design,augments,generative design,AI in Fashion System-Design to Customer Feedback
ai,revolutionises,apparel production,AI in Fashion System-Design to Customer Feedback
demand forecasting,uses,ai techniques,AI in Fashion System-Design to Customer Feedback
supply chain optimization,uses,ai techniques,AI in Fashion System-Design to Customer Feedback
intelligent automation,uses,ai techniques,AI in Fashion System-Design to Customer Feedback
marketing strategies,influenced by,ai,AI in Fashion System-Design to Customer Feedback
targeted advertising,uses,ai,AI in Fashion System-Design to Customer Feedback
personalised recommendations,uses,ai,AI in Fashion System-Design to Customer Feedback
customer segmentation,uses,ai,AI in Fashion System-Design to Customer Feedback
smart fitting rooms,powered by,ai,AI in Fashion System-Design to Customer Feedback
visual merchandising,powered by,ai,AI in Fashion System-Design to Customer Feedback
real-time inventory tracking,powered by,ai,AI in Fashion System-Design to Customer Feedback
customer feedback,facilitates,closed-loop system,AI in Fashion System-Design to Customer Feedback
ChatGPT,influences,managerial work,Unveiling the Transformative Influence of ChatGPT on Service Sector
ChatGPT,influences,operational work,Unveiling the Transformative Influence of ChatGPT on Service Sector
